hypothesis,premise,label
La tasse contient de l'eau.,Une personne ayant une tasse rouge assise à côté d'une femme portant une chemise noire.,1
Une mère qui tient sa fille.,Les femmes asiatiques détiennent une jeune fille.,1
La femme est une contestante.,Une femme porte une ceinture en waving.,1
Une femme mange un hamburger et un fromageburger.,Une femme ayant une fleur dans ses cheveux et des gants blancs équilibre un bol de verre avec de l'eau sur sa tête.,2
Les animaux sont calmes.,Les animaux ne semblent pas agressifs.,0
Un groupe de personnes qui s'inclinent et parlent,Un grand groupe de personnes s'inclinent tous sur un rail de verre et d'acier.,1
Un adolescent sloppy joue le piano pour la bande.,Un homme bien habillé dans un costume joue le piano pour la bande.,2
Le joueur de basket-ball prend un coup.,Le numéro 3 d'un match de soccer cherche à voir où mettre le ballon en jeu à partir de l'arrière.,2
Un garçon joue un jeu de baseball avec son équipe.,Jeune garçon dans un uniforme de baseball blanc frappant un baseball avec une chauve-souris bleue.,1
Un Harlem Globetrotter brise un basket-ball.,un joueur de basket-ball s'enfonce.,1
La fille se tient à l'extérieur de la maison.,"Une jeune fille, peut-être d'ascendance hispanique, se tient dans une fenêtre ouverte entourée de vêtements et de plantes extérieures.",2
Un homme ayant des cheveux longs et droites est en motocycle.,Personne avec afro secouant les mains avec la foule.,2
L'homme se trouve dans un avion.,Un homme en vélo regarde ce qu'un homme vend dans la rue.,2
L'homme est assis à la lecture d'un journal.,"Un homme qui tient ses bras à l'horizontale et qui s'enfonce une épaule de clôture à sa main droite, alors que les gens en arrière font la même chose.",2
Elle est à l'extérieur.,Une femme portant un costume rouge et noir en face d'un bâtiment jouant un violon.,0
La personne lavera des vaisselles.,"Une personne, dans une cuisine, tient un uf au dessus d'un bol avec du riz.",2
Les élèves pratiquent le karate.,Karate élèves pratiquent sur un tapis.,0
une femme remplit un panier d'une paille,Une femme fabrique un panier à partir de paille.,0
Un homme est sur une flottante dans la piscine.,L'enfant est sur un flottant dans la neige.,2
Elle joue le clarinette.,La fille en châssis pourpre joue un instrument musical avec d'autres musiciens.,1
L'enfant a de la terre dans sa bouche.,Un enfant met de la terre dans sa bouche.,0
La personne se trouve dans une position étrange.,Une personne portant une chemise à long roux rouge se couche sur un mur devant un poste de feu d'une manière très inhabituelle.,0
Un homme tient un dîner pour sa femme.,Un jeune homme oursé dans un sweatshirt à capuchon gris agite un pot avec une cuillère de bois.,1
Un homme en vêtements d'hiver se préparant à skier.,Un jeune homme dans un Speedo se prépare à nager.,2
Un skateboarder fait des trucs.,Un patineur est en aéronef au-dessus de son plancher inversé.,0
Une femme qui apprécie le soleil sur la plage.,"Une femme danse sur la plage, avec l'océan en fond.",2
un homme plus âgé roule autour d’un drapeau,"Un homme plus âgé porte un chapeau et porte un signe politique, tandis qu'un drapeau américain se trouve dans l'arrière-plan.",2
Le laboratoire informatique est plein de monstres.,Vue aérienne d'un laboratoire ou d'une bibliothèque informatiques avec plusieurs utilisateurs sur un ordinateur.,2
Une femme qui a un bikini blanc est assise sur une serviette et lise un livre.,"Une femme qui a sur une chemise blanche avec pantalons verts et bottes noires, qui s'aperçoit qu'elle apprécie les feuilles.",2
Les femmes portent des combinaisons de bain d'une pièce.,Deux jeunes femmes portant des pantalons et des shorts de bain se promènent à côté de l'autre tandis qu'un homme portant un t-shirt vert et des shorts de couleur rouge se trouvent derrière elles.,2
Il y a quelques personnes qui dorment dans la tente.,"Un groupe d'adultes et d'enfants, l'un d'entre eux montrant sur quelque chose à l'extérieur de la caméra.",2
Un groupe de personnes se trouvent à l’intérieur d’un film,Une femme portant des lunettes et gardant un bébé dans un grand groupe de personnes,2
Les gens jouent les tambours.,Trois musiciens chantent sur leurs guitares.,2
Un snowboarder s'envole.,Un snowboarder glisse sur un mur de ciment la nuit.,1
Personne ne pousse,Un joueur de rugby en noir pousse sa route par un joueur en rouge tout en portant le ballon.,2
Un chien pique sur le bord.,Un chien se trouve au bord d'un corps d'eau glacé.,1
Une personne affaiblit une balle de soccer dans un terrain d'herbe à côté d'un stationnement.,Un garçon brise une balle de soccer dans un terrain d'herbe à côté d'un stationnement.,0
deux personnes en sombreros marchant dans la rue et gardant les mains parce qu'elles sont amoureuses.,deux personnes en sombreros marchant en arrière de la rue et gardant les mains.,1
Le chien est blanc,Un chien noir saute sur ses jambes dorsales en se reposant sur l'herbe.,2
Il y a deux hommes près d'un cheval.,Un homme plus âgé qui regarde comme un homme plus jeune s'enfonce avec quelque chose sur son cheval.,0
La femme porte une robe.,Une femme assise seule sur un banc de parc au soleil.,1
Deux hommes parlent,Deux hommes parlent de chaises.,0
Une personne en manteau rouge se tient sur une rive.,Quelques personnes se trouvent et la personne dans le manteau rouge montre le corps de l'eau.,0
Les garçons fument,Les filles sucent sur les lollipops.,2
Les hommes sont des travailleurs,Deux canopies blanches avec des hommes qui se trouvent sous eux alors qu'un homme marche à l'écart.,1
Un homme marche sur une plage avec ses enfants et un chien.,Un homme doté d'un sac à dos marche sur un piégeage près de l'eau.,1
Un homme conduit une voiture.,Un homme emprunte une bicyclette sur une route avec des barrières en béton.,2
Le groupe est habillé comme des policiers.,Un groupe de travailleurs en vestes orange réfléchies et en chapeaux durs pose pour une photographie.,2
Les femmes participent à une fête d'anniversaire.,Deux femmes se divertissent à une fête.,1
L'enfant joue dans une boîte de sable.,Un enfant plonge sous-marin en portant des lunettes de baignade et des lunettes oranges.,2
Un vieux homme choisit les M&M pour les rouges.,Un homme plus âgé joue un accordion avec ses yeux fermés.,2
Un jeune garçon et une jeune femme marchent dans le parc,Un jeune garçon asiatique en costume traditionnel bleu de marine regarde une femme portant des vêtements modernes alors qu'ils marchent tous deux sur un chemin pavé.,0
Une personne équite un cheval.,Un équestre saute dans l'air dans la cour de cheval.,0
Deux hommes dans un restaurant et l'un d'eux mange des gâteaux,"Deux hommes sont assis à une table dans un restaurant, un homme a une tranche de gâteau avec un éclaircisseur comme bougie.",0
Les sept personnes jouent avec le Playstation 3.,Sept personnes assises autour d'une table noire jouant un jeu de cartes.,2
Un homme portant un capuchon.,L'homme dans le têton à capuchon contrôle la grande machine.,0
Les gens sont sur la plage.,Deux personnes marchent sur la plage au coucher de soleil.,0
Quelqu'un prend le jouet du joueur.,Quelqu'un enleve un vêtement d'un joueur de football Green Bay Packers.,1
Une fille est assise sur les épaules de son père lors d'un concert.,Une fille est assise sur les épaules d'un adulte lors d'un événement en plein air.,1
Une grande personne transportant un seau,"Un lave-feuille, à l'aide d'un cordon et d'un seau blanc, fonctionne sur les fenêtres d'un bâtiment en briques rouges qui est étiqueté avec le mot « BUILDING » sur un lintel sculpté.",1
La famille est à la plage.,"Enfant, homme et femme marchent près de l'eau.",1
Un garçon pond sur la plage.,Un garçon dans des gardes d'éruption et des chaussures de baignade s'envole dans l'eau à une plage.,2
Un chien brun et une courroie verte se trouvent dans l'air.,Un chien brun saute vers l'avant pour prendre une courroie verte dans sa bouche.,0
Le vieux homme est aveugle.,Deux personnes plus jeunes et un homme plus âgé observent intentionnellement un peu de sable.,2
Personne n'a une chemise.,Une jeune fille portant une chemise jaune tourne sur une corde d'arbre.,2
Un grand nombre de gens se parlent l'un avec l'autre lors d'un repas.,Un grand nombre de personnes âgées se trouvent dans une pièce remplie de tables et discutent les uns avec les autres.,2
Une femme tient une caméra et est sur le point de prendre une photo.,une femme assise sur une classe souriante à la caméra,2
Deux femmes conversent.,Deux femmes mènent une conversation en milieu urbain.,0
Un homme dans un parc.,Un vieux homme en châssis blanc et en châssis marche sur un sentier à travers un parc.,0
Une fille ramasse des balles de tennis sur un terrain.,Un garçon saute pour frapper un ballon de tennis avec son racket,2
Un homme dessinant sur un trottoir avec de la craie rouge.,Un homme dessinant sur un trottoir avec cisaillement.,1
Un chien saute dans l'eau.,Un chien noir saute dans un corps d'eau avec un bâton dans sa bouche.,0
Femme asiatique à la photoshoot sexy,"Les femmes asiatiques siègent sur le sol et travaillent à un projet, tandis que deux d'entre elles s'enfoncent à la caméra.",1
Une personne qui joue le volleyball.,Une personne en chemise blanche et en shorts noirs se prépare à servir un volley-ball.,0
La foule regarde le cheval rapide.,"La foule regarde le cheval, regardant sur le cowboy alors qu'il quitte l'arène, se demandant ce qui se passera à l'avenir.",1
Une vieille personne se tient devant un édifice avec des panneaux.,Un vieux homme est en face d'un bâtiment papieré avec des panneaux électoraux.,0
Certaines personnes sont des animaux à cheval.,beaucoup de gens sont sur les chameaux.,0
Les hommes jouent des saxaphones,Les hommes jouent des saxaphones à l'extérieur d'un bâtiment.,0
un groupe d'hommes et une chute de fond,Un groupe de jeunes hommes jouent autour d'une chute naturelle.,0
Il y a des enfants et des ballons.,Un animateur fabrique des ballons pour les enfants.,0
Un homme est sur le point de lancer un football.,L'homme en shorts noirs et une chemise verte avec le numéro 25 sur le dos est sur le point de lancer la balle de soccer.,2
Un homme assis entre une table et une valise complète en portant une chemise blanche.,un homme dans une chemise blanche est assis entre une table et une valise complète.,0
la femme prend son enfant pour une promenade,Une femme asiatique qui tient une boisson d'une main et un enfant d'autre.,1
Deux garçons volent le ballon.,Deux jeunes filles volent un kite.,2
Le couple danse tandis que le groupe joue de la musique.,"Un couple joue à l'extérieur d'un parc, un homme sur une guitare et l'autre sur un violon.",1
Le couple se trouve dans un restaurant,Un couple debout devant une fenêtre d'affichage d'un magasin.,2
Les gens se trouvent au soleil dans le parc.,Les gens se trouvent en dehors du soleil.,1
Les cyclistes courent.,Un groupe de cyclistes ride leurs vélos sur une route.,1
Une femme fait preuve d’un frisbee à glisser,Surveillez de près lorsque je démontre l'art de glisser un frisbee.,0
2 officiers ne portent pas d'insigne lorsqu'ils s'arrêtent d'une zone.,2 policiers d'une maison de banlieue qui tuent une zone de police avec une bureaucratie jaune.,1
Un homme achète de la noix mince dans l'épicerie.,Un homme choisit des noix de coco du sommet d'un arbre.,2
le garçon s'amusera dans le parc d'eau,Un garçon en costume humide vert prend son tour dans un évaporateur d'eau et un groupe d'autres attendent.,1
Un chat mène,Un chien gris emprunte le long de l'herbe verte.,2
Un homme est en kayak sur l'eau.,Un homme plonge un kayak sur l'eau à côté d'une grande face rocheuse.,0
Les médecins effectuaient une chirurgie.,Les médecins portant des engins de protection effectuent des chirurgies.,0
Les gens sont à l'extérieur à côté d'un autobus.,"Un homme en vélo et un homme marche devant un bus avec une annonce ""Sex And The City"".",0
L'homme naît.,Un homme en jeans bleus travaillant sur un filet de pêche.,2
Un homme est en train de courir un coureur de vague.,l’arrière-plan d’un surfer qui emprunte une petite vague.,2
Un homme joue dans un tournoi.,Un homme dans un t-shirt orange et des bandes de poignée blanches joue le tennis.,1
Deux hommes debout sur leurs pieds.,Deux hommes en chemises noires se trouvent sur un bras.,2
Un homme se trouve à l'extérieur et porte un bâton.,"Un homme en veste de sécurité et en chapeau noir portant des gants en caoutchouc est enfoncé sur un coin d'une intersection, faisant quelque chose avec un bâton.",0
Un patineur de glace est en rouleau.,Un patineur de glace effectue une routine de patinage de glace.,2
Une personne en manteau rouge se tient sur une rive.,Quelques personnes se trouvent et la personne dans le manteau rouge montre le corps de l'eau.,0
Une voiture argentée et noire est en course.,Une voiture de course en argent et en noir tourne latéralement et souffle de la fumée à l'arrière de la voiture.,0
La femme dorme dans sa chambre.,"Une femme portant une chemise blanche, des pantalons et des bottes est à côté d'un chariot de vendeurs qui contient diverses boissons.",2
Les gens exécutent sous des lumières bleues.,Deux animateurs exécutent sous des feux rouges.,2
Le policier regarde sur le quartier.,La garde regarde la ville au-delà du mur.,2
Un cheval a un mane dans un groupe de chevaux.,Le cheval de gauche a un mane blanc.,1
L'enfant est habillé et prêt à l'église.,Jeune enfant portant un costume religieux.,1
Un homme marche dans le parc.,Un homme qui plonge d'une corde lave les fenêtres d'un bâtiment en briques rouges.,2
Un chien de service s'envole pour aider son maître.,Le gros chien de course noir porte une courroie autour de sa poitrine.,1
Les camarades marchent dans le cadre d'un défilé de nouvelles années.,un grand groupe de chefs d’appoint marchant dans un défilé,1
Le chien est fier de son achat pour les trois humains.,Le chien à l'avant-plan et trois personnes à l'arrière-plan.,1
Les hommes marchent à l'extérieur.,Des hommes habillés comme chevaliers marchent dans la ville.,0
L'eau est chaude.,Un groupe de filles surplombe l'eau.,1
Le chien joue.,un chien pounce sur l'herbe.,1
Elle ressent comme des fleurs.,une petite fille en odeur d'une fleur,0
Un homme donne à son petit frère un rideau à l'arrière.,un homme donne à un autre homme un entraînement.,1
L'enfant crie à l'intérieur d'une voiture.,Un jeune enfant aime jouer dans une voiture qui présente le personnage caricature « Barney ».,2
Un homme a l'intention de plonger dans la piscine.,Un homme muni d'un harnais et d'une corde attachés à sa taille se trouve au sommet d'une montagne surplombant l'eau.,2
Une femme est en train de mettre sur le lèvre.,La femme a mis des lèvres colorées dans le miroir.,0
Un homme enseigne un garçon.,Un homme plus âgé enseigne à un garçon comment utiliser correctement les outils.,0
Un chat se pose sur le sol.,Un chien brun se pose au sol devant une porte à côté d'une boîte rouge sur un piéton.,2
les gens équitent leurs chevaux sur un sentier.,Neuf personnes ont roulé leurs chevaux.,1
Il n'y a pas de travailleurs présents.,"Une grande tuyauterie blanche est abaissée sur une remorque, à mesure que deux travailleurs s'y trouvent.",2
L'homme a sur les vêtements.,Un homme en costume et en tie est assis dans une aire extérieure autrement vide.,0
une foule se trouve au milieu d’une intersection occupée,Une foule marche à travers la rue à une intersection occupée avec de nombreuses voitures et de nombreuses publicités.,2
Les enfants jouent un jeu sur le mur.,Les quatre jeunes hommes se trouvent sur le mur bas.,1
un enfant glissant vers le bas d'une diapositive,Un enfant pondant sur son estomac au fond d'une diapositive regarde vers le haut.,1
Il y a un homme qui joue un instrument.,"Deux hommes gestent l'un à l'autre, tandis qu'un troisième joue la guitare.",0
L'homme est devant la tourbière.,Un homme qui se tient avec un bras i devant un magasin.,2
Les gens parlent à côté du poêle.,Un homme et une femme portant des uniformes de chef ayant une conversation à côté d'un banc de parc.,2
Une fille est en vélo.,"Une petite fille saute dans les bras de sa mère, se trouvant dans une piscine.",2
Les hommes sont des espions pour Mars.,Les hommes en lunettes de soleil foncées se trouvent suspectement dans des chaises blanches de pelouse.,2
Les enfants jouent avec le chien de voisinage.,Groupe d'enfants entourent et chien blanc de compagnie avec collier bleu sur l'herbe.,1
Trois personnes attendent des gens par un mur de pierre.,Trois personnes se trouvent à l'extérieur devant un mur de pierre bas.,1
Une fille vient de terminer sa douche.,Une jeune fille portant un peignoir blanc se trouve à côté d'une porte.,1
Il y a des femmes dans le groupe.,"Un groupe d'adultes portant tous des calottes rouges et blanches pose en gardant leur index, leur milieu et leurs doigts à l'arrière.",1
Un grand chien brun emprunte un chemin heureusement.,Un chien brun léger emprunte fréquemment un chemin.,1
Deux hommes pêchent.,Deux hommes en veste noire se trouvent dans un petit bateau en eau.,1
l'homme voit un dentiste,Un homme qui fait un visage amusant à l'écran en utilisant des yeux larges et un grand sourire.,2
Quatre hommes suivent une recette de nourriture.,Quatre enfants suivent une recette alimentaire.,2
Les gens savourent un dîner à l'intérieur.,Plusieurs personnes se détendent à l'extérieur.,2
Il y a un groupe de gens à l'extérieur.,Un homme ayant une guitare est assis sur un banc extérieur avec trois autres personnes assises par lui.,0
Deux personnes sont sur le terrain.,2 personnes travaillant sur le toit d'un bâtiment.,2
Il y a trois petits qui ont un sommeil.,"Les bébés ayant un sommeil, assis sur la couche, giggling à la télévision.",1
L'homme et la femme ne sont pas face l'un à l'autre.,Un homme en costume noir et une femme en robe blanche et en fleurs se mariant,2
Une fille pose avec une main sur sa hanche alors que son ami prend une photo,Une fille posant sur une passerelle en pierre ouverte pour une photo prise par un ami.,1
Les femmes dansent par un homme portant un turban et un peignoir.,Les filles dansent derrière un homme portant un peintre blanc et un turban.,0
Un groupe joue de la musique.,Une bande jouant devant une foule de gens,0
Personne ne s'est réuni,Les gens se rassemblent dans un marché des fuites pour acheter des aliments et divers produits.,2
Les hommes se réunissent après un service d'église.,Les gens se réunissent après avoir assisté à un service d'église.,1
Deux femmes dorment.,Deux femmes font des décorations sur un mur.,2
L'homme en veste rouge remet ses outils et jete une pièce de bois en forme de souche,Homme en veste verte travaillant avec des outils sur une grosse pièce de bois en forme de souche,2
La jeune fille nage dans le lac en regardant sa grand-mère.,Une femme plus âgée souriant alors qu'elle tient une jeune fille avec un sourire glamoureux et un visage muré.,2
Trois chiens jouent sur leur terrain préféré.,Trois chiens jouent à l'arrière dans un terrain sablonneux.,1
Une bande joue pour une foule énorme de gens.,"Trois musiciens portant du cuir interprètent sur une scène, dont un guy avec une guitare, et deux chanteurs.",1
Une femme joue avec son groupe.,Une jeune femme à cheveux blonds sauvage joue la guitare électrique sur la scène.,1
L'homme a utilisé ses mains pour faire le château de sable.,"Un homme en vêtement de bain bleu et un beanie rouge s'engelent dans le sable humide au bord d'une plage, ce qui fait un château de sable aussi grand qu'il est lorsqu'il s'engele.",0
un homme se prépare au travail,"Homme portant une calotte de baseball, des lunettes et des écouteurs.",2
Je brise un miroir parce qu'il est fou.,Un homme se tient devant un miroir.,2
Les amoureux se rencontrent à l'extérieur de la ville pour une embarcation secrète.,Un couple s'encourage à regarder les signes asiatiques à la distance.,1
Il y a trois hommes qui ont des arbres en fond.,"Un homme, debout avec son dos à la caméra, filme un autre homme, face à lui, avec des cendres blanches en fond, travaillant dans un carnet.",0
Les hommes portent des chaussures noires.,Deux hommes très boueux forent pour le pétrole,1
La jeune femelle est debout.,Une fille portant une chemise rose et un collier de perles assise et rire.,2
La nappe est blanche.,La corde de souris se trouve sous une nappe blanche.,1
Les garçons fument,Les filles sucent sur les lollipops.,2
Un groupe de fans cuisine des aliments avant le jeu.,Les fans d'une équipe de football regardent sur le terrain.,2
Les parents des enfants jouent avec leurs enfants à la foire.,Les enfants mènent des voitures de jeu colorées dans un parc d'agrément avec un peu d'aide de certains adultes.,1
Les trois anciens bâtiments étaient auparavant la maison des redevances.,"Belle scène de la ville avec un ciel bleu clair, trois vieux bâtiments et une rue étroite avec voies ferrées.",1
L'ordinateur de la femme est désactivé et elle se prépare à aller au déjeuner.,une fermeture d'un grand plan de type unique avec une femme seule au centre.,2
Une fille est à l'extérieur.,Cette fille met l'oiseau dans la neige et la mange plus tard.,0
Il y a une fenêtre dans le véhicule.,Un pompier regardant à l'extérieur de la fenêtre d'un véhicule.,0
Un homme et une femme sont dans un dîner.,Une femme en manteau jaune est assise à côté d'un homme debout dans une veste rouge dans un dure.,0
Une série de balcons en haut sur une rue de la ville.,"Une vue d'une série de balcons sur une rue de la ville occupée par des bâtiments, avec une femme en châssis pourpre debout sur un balcon à gauche.",1
Un garçon regarde une réflexion,Un garçon regardant sa réflexion.,0
La tour a une cloche au sommet.,La cloche au sommet de la tour semble entourée d'une sorte de clôture ou de câblage.,0
Un événement sportif est en cours.,"Un grand match surveillé par des milliers de personnes, et un homme qui tient sa chemise aux mains grimpe une tour de fer.",0
Un artiste de tatouage met le tattoe d'une rose sur un bras d'homme à l'intérieur d'un salon de tatouage.,Un artiste de tatouage tatoue une rose sur le bras d'un homme.,0
Trois hommes jouent un tour de golf à l'extérieur.,Trois hommes jouent du golf devant un corps d'eau.,0
Un homme qui tient une corde regarde dans une tuyauterie.,Un homme gardant une corde regardant vers le haut à l'intérieur d'un tuyau au sol.,0
un chat joue avec son propriétaire,Un chien fait un saut fidèle pour capter un Frisbee vert et noir dans sa bouche.,2
Quatre garçons jouent sur un tour de mer dans le parc central.,Quatre garçons jouent dans un parc.,1
Une femme est en bicyclette.,Lady riding a bike in a white dress.,0
Un groupe de personnes ayant des instruments se trouvent près d'un homme ayant un microphone.,L'homme travaille au microphone avec un groupe de musiciens d'origine informelle sous la direction d'un dirigeant.,0
Le crocodile est faux,Une fille siège sur ce qui semble être un crocodile.,1
Deux hommes se battent.,Un couple gardant les mains sur une table.,2
Les gens venaient tout juste de manger le dîner.,Trois jeunes adultes lavent des plats dans la cuisine.,1
Une petite fille vélot sur un sentier de vélo.,Une petite fille à tête rouge assise devant le petit sentier plein de gens à l'approche de la minuscule tour d'eau.,2
Un homme admirant un plancher fraîchement nettoyé.,Nettoyage et réparation des murs par un gentleman dans une échelle.,2
Un cycliste a gagné la course.,un motoniste masculin dans une chemise grise franchit la ligne finale en célébration.,1
Un garçon allait au bar.,Un garçon de l'adolescent dans un chapeau rouge qui tient à quelques rails.,2
Certains garçons jouent go fish.,Deux enfants se trouvent sur des escaliers en béton tandis que les adultes marchent.,2
Le chien est humide.,Un chien éclaire dans l'eau murée.,0
Il y a un homme portant des rouleaux.,Un homme sur des rouleaux fait un truc.,0
"Un homme noir pur rasé, portant un monoclé et une cape au cours de sa descente sur le trottoir.","Un homme blanc ayant une longue barbe grise, porte un chapeau noir et un long costume noir pendant qu'il marche dans la rue.",2
Deux hommes en chemises bleues sont des combats.,Deux hommes se battent au milieu des édifices tournants.,1
Les gens travaillent dans une entreprise de financement.,"Une salle de conférence avec de nombreux couples assis ensemble, avec un mâle blanc portant une chemise à long sangle grise d'Abercrombie assise avec une femelle asiatique avec ses cheveux en ponytail.",1
Les femmes se trouvent sur un trottoir,Un groupe de femmes sur un trottoir.,0
Une femme est en vélo.,Une femme en casque emprunte son vélo derrière une voiture.,0
Les gens sont dans le soleil chaud et jouissent du beahc.,Les gens sont réunis sous l'égide de l'Organisation.,2
Un chien dorme dans la salle de séjour.,Un chien se raccorde le long de la plage.,2
Les gens rejoignent quatre chevaux dans la photo.,Il y a 4 chevaux dans la photo.,1
La New York Philharmonic commence sa saison de concert à Carnegie Hall.,Un orchestre de musique classique avec un conducteur jouant à l'intérieur.,1
Un homme et un chien exécutent.,Un chien de taille moyenne saute à travers des hoops qui sont tenues par des hommes.,0
un groupe de personnes tient un frisbee,Un groupe de personnes tient un frisbee avec leurs doigts.,0
Un couple célèbre son premier anniversaire.,Un couple entouré de ballons rose et blanc.,1
Trois chiens se battent mutuellement.,Trois chiens se joignent sur le terrain.,2
Un homme porte de la transpiration,Un homme en costume marche à travers une série de portes.,2
La fille dorme dans son lit.,Un enfant recouvert de peinture assis dans des plateaux de peinture multicolore sur une surface complètement saturée de peinture.,2
Un groupe de jeunes hommes autour d'une chute d'eau avant une fête plus tard.,Un groupe de jeunes hommes jouent autour d'une chute naturelle.,1
Les musiciens exécutent de la musique rock devant un immeuble.,Les musiciens jouent la nuit devant un vieux bâtiment.,1
Le skateboarder est en plein air.,Un skateboarder saute d'une table en bois sur quelques étapes.,0
un adolescent est en vélo.,Un adolescent en châssis bleu passe à bord d'une vidéo de Blockbuster.,2
Deux garçons tiennent un vélo.,Deux garçons levant un vélo de terre.,0
Il y a un chien blanc assis.,Le chien noir saute au-dessus de l'eau vers un Frisbee flottant près d'un bateau.,2
Le garçon tient un bâton,Un garçon swinge un bâton à une pinata alors qu'une femme et une petite fille regardent.,0
Un homme surfe à Hawaii.,Un homme qui surfe sur une journée ensoleillée.,1
Un chien à balle,Un chien brun jouant avec un ballon de tennis,0
Aucun jeu ne joue actuellement.,Les hommes jouent le soccer sur un terrain boueux.,2
Un chef prépare un plat à l'intention des clients.,Une femme ayant des cheveux gris met les pommes de terre à l'aise pour aigrer.,1
L'homme portant des courtes bleues est assis confortablement.,Un homme en court rouge saute derrière un filet de volley-ball.,2
une personne proteste dans la ville,Il y a une foule de gens qui se trouvent au milieu de la ville.,2
Le garçon ne porte pas de chapeau.,Un jeune chapeau en arrière portant une caméra professionnelle.,2
Il y a beaucoup d'hommes dans la classe.,Une femme donne un exposé à une classe de tous les sexes.,2
Une petite fille vend la citronade dans la rue.,Une petite fille s'enfonce sur un trottoir.,2
Les gens empruntent des vélos.,Personnes en ligne dans une zone surpeuplée.,2
l'homme assis en changeant le pneu des voitures sur le côté de la route,L'homme saute sur le côté de la route à côté d'une voiture remplie d'amis.,2
Un chat est jugé dans un spectacle.,Les gens jugent un chien gris et blanc dans un spectacle.,2
La bande est sur le point de jouer un jeu.,Un homme avec une guitare est à un microphone alors que le batteur semble se reposer et l'autre guitariste a son dos à lui.,1
Un homme est tiré par lui-même.,Un homme roule derrière un chien tiré par quatre chiens.,2
Un homme se trouve dans la rue.,Deux hommes et un jeune garçon en veste pourpre tiennent des dépliants promotionnels.,2
Un homme regardant la ville.,Un homme se tient au sommet d'un grand bâtiment qui surplombe la ville.,0
Femmes à fûts et chante,Une femme chante et joue les tambours.,0
L'homme magasine sur le marché.,L'homme marche par un marché de coin avec graffiti.,1
surveillée par un groupe,Un enfant dans une calotte verte est placé à bord d'un bateau.,1
Les gens mangent leur dîner.,Un groupe de personnes se trouvent sur un banc à l'extérieur d'un restaurant.,1
Un homme dorme sur le plancher sur la blanchisserie.,Un homme ayant une chemise noire à la blanchisserie.,2
Une femme pond sur son plancher d'habitation dormant.,Une femme ayant un chapeau est assise sur un skateboard qui se trouve au dessus d'un banc et parle avec un homme sans chemise.,2
Une femme tente d'obtenir sa ceinture noire,Une femme à pantalons bleus et blancs pose une sorte de mouvement en arts martiaux.,1
Le garçon dorme.,Un jeune garçon pénétrant dans la fenêtre d'un autobus passager.,2
Une femme joue un violon.,Une femme joue le violon.,0
Il y a un homme et un animal dans cette image.,Un homme équite un cheval dans un rodéo et le cheval tente de l'arracher.,0
Une danseuse de ballet qui exécute Swan Lake.,"Une danseuse de ballet en blanc et une autre danseuse de ballet en vert exécutent un bras en bras, avec l'image d'un bâtiment à colonnes en fond.",1
Une femme porte un chapeau patriotique.,Une femme porte un chapeau noir avec un drapeau américain sur elle et regarde la caméra fâcheusement.,0
un homme est à l'extérieur jouissant d'une belle brise,Un homme qui tient une canne habillée en vêtement gris a la main à sa tête alors qu'il s'enlève à l'extérieur.,2
Personnes devant un campeur.,"Un homme, une femme et une jeune fille se reposent avec de l'eau devant un campeur.",0
Un homme saute d'une chute de chute.,Un homme portant des troncs de nage saute d'une grande roche dans un corps d'eau.,1
Un point de vue humain,Un enfant dans une veste rouge montre de belles fleurs oranges.,0
Les gens sont tous assis à un grand repas de Chrismas.,Un groupe de jeunes en vêtements lumineux se trouvent sur les escaliers d'un bâtiment.,2
Une foule de gens habillés entièrement en marche verte,Un défilé de gens en rose marche.,2
C'est une journée très sombre et nuageuse.,Un groupe de personnes débarque d'un bateau dans un port ensoleillé en plein soleil.,2
Les gens portant des casques arrêtent leurs vélos sur la route,Les gens portant leurs casques et empruntant leurs vélos sur la route.,2
Un homme en costume entouré de costumes,Un homme se tient à l'intérieur d'un costume de parade.,1
Une fille joue du baseball à l'extérieur,Une fille fait une course à domicile pendant son jeu de baseball.,0
Une personne est à l'extérieur.,Une femme peint un portrait à l'extérieur.,0
Personnes à bord d'un train.,Les gens embarquent à bord d'un train peint jaune sur l'avant.,0
Conduite humaine,Un homme en autobus traverse un autre homme dans la rue.,0
"Un père et une fille gardant un jeune arbre debout, le plantant.","Un père et une fille gardant un jeune arbre à l'aise, prêts à être plantés, alors que le fils se tient à leur côté en utilisant une pelle.",0
Le chien est blavk,Un chien noir et un chien tan.,0
Un pompier muni d'un manteau jaune s'apprête à surmonter un masque à gaz.,Un pompier met son masque à gaz.,1
Une jeune fille odore une fleur à l'extérieur.,Une jeune fille ressent un dandelion à l'extérieur.,0
Le couteau est court.,"Un homme portant un couteau extrêmement court, des suspendues et des chaussettes rayées de couleur éclatante se tient sur une scène, faisant quelque chose avec une contraption impliquant des objets qui roulent et s'envolent sur des cordes.",0
La femme porte du noir.,"Une femme en noir détient une cigarette et un sac à commerçant, tandis qu'une femme âgée traverse la rue.",0
La femme attendait son voyage avec ses biens,Une jeune femme orientale assise parmi ses biens.,1
THere sera un auditoire au concert de jazz.,Un concert de jazz en direct avec une bannière de jazz rouge.,1
Une personne regarde l'eau.,Une personne en jeans bleus et une chemise bleue assise sur une roche par une piscine d'eau.,1
Les travailleurs sortent les lignes de pêche en prévision du décollage.,Les travailleurs sortent les lignes de pêche.,1
